order_item_id,order_id,product_id,quantity,price_per_unit,total_price
ITEM_4001,ORD_3001,PROD_2068,2,294,588
ITEM_4002,ORD_3002,PROD_2039,3,1601,4803
ITEM_4003,ORD_3003,PROD_2137,2,1951,3902
ITEM_4004,ORD_3004,PROD_2136,3,4178,12534
ITEM_4005,ORD_3005,PROD_2028,3,1775,5325
ITEM_4006,ORD_3006,PROD_2250,1,1242,1242
ITEM_4007,ORD_3007,PROD_2218,3,517,1551
ITEM_4008,ORD_3008,PROD_2137,3,1951,5853
ITEM_4009,ORD_3009,PROD_2020,2,3312,6624
ITEM_4010,ORD_3010,PROD_2177,2,3789,7578
ITEM_4011,ORD_3011,PROD_2155,3,756,2268
ITEM_4012,ORD_3012,PROD_2171,1,800,800
ITEM_4013,ORD_3013,PROD_2013,2,2005,4010
ITEM_4014,ORD_3014,PROD_2105,2,2004,4008
ITEM_4015,ORD_3015,PROD_2177,1,3789,3789
ITEM_4016,ORD_3016,PROD_2050,2,4289,8578
ITEM_4017,ORD_3017,PROD_2057,3,3165,9495
ITEM_4018,ORD_3018,PROD_2040,3,2205,6615
ITEM_4019,ORD_3019,PROD_2160,3,871,2613
ITEM_4020,ORD_3020,PROD_2099,2,3259,6518
ITEM_4021,ORD_3021,PROD_2226,2,3076,6152
ITEM_4022,ORD_3022,PROD_2069,2,1138,2276
ITEM_4023,ORD_3023,PROD_2197,2,279,558
ITEM_4024,ORD_3024,PROD_2148,3,699,2097
ITEM_4025,ORD_3025,PROD_2162,1,4482,4482
ITEM_4026,ORD_3026,PROD_2053,3,2220,6660
ITEM_4027,ORD_3027,PROD_2047,2,2393,4786
ITEM_4028,ORD_3028,PROD_2007,3,444,1332
ITEM_4029,ORD_3029,PROD_2015,1,1507,1507
ITEM_4030,ORD_3030,PROD_2047,3,2393,7179
ITEM_4031,ORD_3031,PROD_2170,1,4812,4812
ITEM_4032,ORD_3032,PROD_2198,2,816,1632
ITEM_4033,ORD_3033,PROD_2105,3,2004,6012
ITEM_4034,ORD_3034,PROD_2205,3,526,1578
ITEM_4035,ORD_3035,PROD_2238,3,563,1689
ITEM_4036,ORD_3036,PROD_2224,3,2889,8667
ITEM_4037,ORD_3037,PROD_2040,2,2205,4410
ITEM_4038,ORD_3038,PROD_2033,1,2477,2477
ITEM_4039,ORD_3039,PROD_2023,1,3963,3963
ITEM_4040,ORD_3040,PROD_2026,3,2601,7803
ITEM_4041,ORD_3041,PROD_2123,2,3498,6996
ITEM_4042,ORD_3042,PROD_2129,1,3989,3989
ITEM_4043,ORD_3043,PROD_2112,1,4176,4176
ITEM_4044,ORD_3044,PROD_2055,1,4988,4988
ITEM_4045,ORD_3045,PROD_2245,1,1220,1220
ITEM_4046,ORD_3046,PROD_2026,1,2601,2601
ITEM_4047,ORD_3047,PROD_2037,1,2387,2387
ITEM_4048,ORD_3048,PROD_2039,2,1601,3202
ITEM_4049,ORD_3049,PROD_2022,3,2366,7098
ITEM_4050,ORD_3050,PROD_2133,1,4628,4628
ITEM_4051,ORD_3051,PROD_2050,2,4289,8578
ITEM_4052,ORD_3052,PROD_2024,2,1222,2444
ITEM_4053,ORD_3053,PROD_2161,3,4981,14943
ITEM_4054,ORD_3054,PROD_2019,3,1037,3111
ITEM_4055,ORD_3055,PROD_2210,1,1466,1466
ITEM_4056,ORD_3056,PROD_2181,3,1048,3144
ITEM_4057,ORD_3057,PROD_2198,3,816,2448
ITEM_4058,ORD_3058,PROD_2149,2,668,1336
ITEM_4059,ORD_3059,PROD_2051,2,3958,7916
ITEM_4060,ORD_3060,PROD_2211,2,1531,3062
ITEM_4061,ORD_3061,PROD_2090,1,4563,4563
ITEM_4062,ORD_3062,PROD_2178,1,2678,2678
ITEM_4063,ORD_3063,PROD_2210,3,1466,4398
ITEM_4064,ORD_3064,PROD_2146,3,1983,5949
ITEM_4065,ORD_3065,PROD_2151,1,4319,4319
ITEM_4066,ORD_3066,PROD_2181,1,1048,1048
ITEM_4067,ORD_3067,PROD_2165,2,2375,4750
ITEM_4068,ORD_3068,PROD_2097,1,1847,1847
ITEM_4069,ORD_3069,PROD_2046,1,2784,2784
ITEM_4070,ORD_3070,PROD_2117,3,1759,5277
ITEM_4071,ORD_3071,PROD_2220,3,3970,11910
ITEM_4072,ORD_3072,PROD_2171,2,800,1600
ITEM_4073,ORD_3073,PROD_2111,1,2481,2481
ITEM_4074,ORD_3074,PROD_2099,3,3259,9777
ITEM_4075,ORD_3075,PROD_2046,1,2784,2784
ITEM_4076,ORD_3076,PROD_2017,1,2476,2476
ITEM_4077,ORD_3077,PROD_2034,2,3188,6376
ITEM_4078,ORD_3078,PROD_2062,1,1510,1510
ITEM_4079,ORD_3079,PROD_2173,2,2372,4744
ITEM_4080,ORD_3080,PROD_2173,3,2372,7116
ITEM_4081,ORD_3081,PROD_2236,3,3355,10065
ITEM_4082,ORD_3082,PROD_2225,3,768,2304
ITEM_4083,ORD_3083,PROD_2196,3,3703,11109
ITEM_4084,ORD_3084,PROD_2038,2,784,1568
ITEM_4085,ORD_3085,PROD_2246,2,4354,8708
ITEM_4086,ORD_3086,PROD_2040,3,2205,6615
ITEM_4087,ORD_3087,PROD_2054,3,4615,13845
ITEM_4088,ORD_3088,PROD_2242,3,3733,11199
ITEM_4089,ORD_3089,PROD_2196,2,3703,7406
ITEM_4090,ORD_3090,PROD_2017,3,2476,7428
ITEM_4091,ORD_3091,PROD_2226,2,3076,6152
ITEM_4092,ORD_3092,PROD_2020,1,3312,3312
ITEM_4093,ORD_3093,PROD_2233,3,3759,11277
ITEM_4094,ORD_3094,PROD_2010,2,417,834
ITEM_4095,ORD_3095,PROD_2099,2,3259,6518
ITEM_4096,ORD_3096,PROD_2193,2,2932,5864
ITEM_4097,ORD_3097,PROD_2008,1,1991,1991
ITEM_4098,ORD_3098,PROD_2014,3,2478,7434
ITEM_4099,ORD_3099,PROD_2039,2,1601,3202
ITEM_4100,ORD_3100,PROD_2179,3,4533,13599
