order_id,order_date,customer_id,order_state,seller_id
ORD_3001,2025-08-14,CUST_1861,Cancelled,SEL_6051
ORD_3002,2026-02-04,CUST_2295,Delivered,SEL_6069
ORD_3003,2025-04-06,CUST_2131,Delivered,SEL_6062
ORD_3004,2025-04-11,CUST_2096,Delivered,SEL_6072
ORD_3005,2025-04-16,CUST_2639,Delivered,SEL_6106
ORD_3006,2025-06-28,CUST_3170,Delivered,SEL_6109
ORD_3007,2025-09-14,CUST_1467,Delivered,SEL_6073
ORD_3008,2025-09-11,CUST_2239,Delivered,SEL_6039
ORD_3009,2025-11-21,CUST_1331,Delivered,SEL_6084
ORD_3010,2025-10-23,CUST_2483,Delivered,SEL_6116
ORD_3011,2025-10-14,CUST_3136,Delivered,SEL_6115
ORD_3012,2026-03-17,CUST_3920,Delivered,SEL_6011
ORD_3013,2025-03-31,CUST_1131,Delivered,SEL_6104
ORD_3014,2025-03-31,CUST_2686,Pending,SEL_6064
ORD_3015,2025-06-03,CUST_1770,Delivered,SEL_6086
ORD_3016,2025-11-03,CUST_3392,Pending,SEL_6080
ORD_3017,2025-11-28,CUST_2516,Delivered,SEL_6106
ORD_3018,2025-12-15,CUST_3854,Delivered,SEL_6102
ORD_3019,2025-11-24,CUST_3434,Delivered,SEL_6042
ORD_3020,2026-02-22,CUST_2216,Delivered,SEL_6010
ORD_3021,2025-04-27,CUST_1956,Cancelled,SEL_6089
ORD_3022,2025-10-19,CUST_3325,Delivered,SEL_6019
ORD_3023,2025-03-30,CUST_2185,Delivered,SEL_6004
ORD_3024,2025-06-06,CUST_1460,Pending,SEL_6083
ORD_3025,2025-07-06,CUST_1022,Delivered,SEL_6003
ORD_3026,2025-04-20,CUST_3301,Delivered,SEL_6081
ORD_3027,2025-09-05,CUST_1748,Delivered,SEL_6014
ORD_3028,2025-05-31,CUST_3905,Delivered,SEL_6010
ORD_3029,2025-08-03,CUST_1475,Delivered,SEL_6006
ORD_3030,2025-07-31,CUST_2083,Delivered,SEL_6031
ORD_3031,2025-07-31,CUST_3559,Delivered,SEL_6031
ORD_3032,2025-10-07,CUST_3048,Delivered,SEL_6048
ORD_3033,2026-01-17,CUST_3748,Cancelled,SEL_6009
ORD_3034,2025-07-18,CUST_1976,Cancelled,SEL_6117
ORD_3035,2026-03-14,CUST_2807,Pending,SEL_6076
ORD_3036,2025-09-03,CUST_1190,Pending,SEL_6108
ORD_3037,2026-03-03,CUST_3735,Pending,SEL_6110
ORD_3038,2026-01-05,CUST_1563,Cancelled,SEL_6026
