payment_id,payment_date,payment_mode,payment_status,order_id
PAY_5001,2025-08-14,UPI,Refunded,ORD_3001
PAY_5002,2026-02-04,COD,Completed,ORD_3002
PAY_5003,2025-04-06,UPI,Completed,ORD_3003
PAY_5004,2025-04-11,UPI,Completed,ORD_3004
PAY_5005,2025-04-16,COD,Completed,ORD_3005
PAY_5006,2025-06-28,COD,Completed,ORD_3006
PAY_5007,2025-09-14,UPI,Completed,ORD_3007
PAY_5008,2025-09-11,Card,Completed,ORD_3008
PAY_5009,2025-11-21,UPI,Completed,ORD_3009
PAY_5010,2025-10-23,UPI,Completed,ORD_3010
PAY_5011,2025-10-14,UPI,Completed,ORD_3011
PAY_5012,2026-03-17,Card,Completed,ORD_3012
PAY_5013,2025-03-31,UPI,Completed,ORD_3013
PAY_5014,2025-03-31,Card,Pending,ORD_3014
PAY_5015,2025-06-03,Card,Completed,ORD_3015
PAY_5016,2025-11-03,Card,Pending,ORD_3016
PAY_5017,2025-11-28,UPI,Completed,ORD_3017
PAY_5018,2025-12-15,COD,Completed,ORD_3018
PAY_5019,2025-11-24,Card,Completed,ORD_3019
PAY_5020,2026-02-22,COD,Completed,ORD_3020
PAY_5021,2025-04-27,COD,Failed,ORD_3021
PAY_5022,2025-10-19,UPI,Completed,ORD_3022
PAY_5023,2025-03-30,UPI,Completed,ORD_3023
PAY_5024,2025-06-06,UPI,Pending,ORD_3024
PAY_5025,2025-07-06,Card,Completed,ORD_3025
PAY_5026,2025-04-20,Card,Completed,ORD_3026
PAY_5027,2025-09-05,UPI,Completed,ORD_3027
PAY_5028,2025-05-31,UPI,Completed,ORD_3028
PAY_5029,2025-08-03,UPI,Completed,ORD_3029
PAY_5030,2025-07-31,COD,Completed,ORD_3030
PAY_5031,2025-07-31,UPI,Completed,ORD_3031
PAY_5032,2025-10-07,Card,Completed,ORD_3032
PAY_5033,2026-01-17,UPI,Refunded,ORD_3033
PAY_5034,2025-07-18,Card,Refunded,ORD_3034
PAY_5035,2026-03-14,Card,Pending,ORD_3035
PAY_5036,2025-09-03,UPI,Pending,ORD_3036
PAY_5037,2026-03-03,UPI,Pending,ORD_3037
PAY_5038,2026-01-05,Card,Failed,ORD_3038
PAY_5039,2025-09-17,UPI,Completed,ORD_3039
PAY_5040,2025-11-10,UPI,Completed,ORD_3040
PAY_5041,2025-04-26,COD,Completed,ORD_3041
PAY_5042,2025-09-11,UPI,Completed,ORD_3042
PAY_5043,2025-08-14,COD,Pending,ORD_3043
PAY_5044,2025-09-23,Card,Completed,ORD_3044
PAY_5045,2025-10-01,UPI,Completed,ORD_3045
PAY_5046,2026-03-06,Card,Completed,ORD_3046
PAY_5047,2026-01-21,Card,Completed,ORD_3047
PAY_5048,2026-01-20,UPI,Completed,ORD_3048
PAY_5049,2025-12-16,COD,Completed,ORD_3049
PAY_5050,2025-06-21,UPI,Completed,ORD_3050
PAY_5051,2026-03-10,UPI,Completed,ORD_3051
PAY_5052,2025-08-26,UPI,Completed,ORD_3052
PAY_5053,2026-03-10,COD,Completed,ORD_3053
PAY_5054,2025-12-21,UPI,Pending,ORD_3054
PAY_5055,2025-11-28,UPI,Completed,ORD_3055
PAY_5056,2025-11-23,UPI,Completed,ORD_3056
PAY_5057,2025-07-07,Card,Pending,ORD_3057
PAY_5058,2025-09-07,COD,Completed,ORD_3058
PAY_5059,2026-01-25,Card,Completed,ORD_3059
PAY_5060,2025-11-08,COD,Completed,ORD_3060
PAY_5061,2025-09-04,COD,Pending,ORD_3061
PAY_5062,2025-08-25,UPI,Completed,ORD_3062
PAY_5063,2026-01-25,COD,Completed,ORD_3063
PAY_5064,2025-05-07,UPI,Failed,ORD_3064
PAY_5065,2025-06-30,Card,Completed,ORD_3065
PAY_5066,2026-02-06,UPI,Pending,ORD_3066
PAY_5067,2025-11-12,UPI,Completed,ORD_3067
PAY_5068,2025-07-05,Card,Completed,ORD_3068
PAY_5069,2025-11-23,Card,Failed,ORD_3069
PAY_5070,2025-11-25,UPI,Completed,ORD_3070
PAY_5071,2025-06-23,COD,Pending,ORD_3071
PAY_5072,2026-01-14,UPI,Pending,ORD_3072
PAY_5073,2025-07-12,UPI,Completed,ORD_3073
PAY_5074,2025-07-23,COD,Pending,ORD_3074
PAY_5075,2025-12-16,COD,Completed,ORD_3075
PAY_5076,2025-11-05,Card,Pending,ORD_3076
PAY_5077,2025-07-07,COD,Completed,ORD_3077
PAY_5078,2025-08-22,Card,Completed,ORD_3078
PAY_5079,2025-05-03,COD,Completed,ORD_3079
PAY_5080,2025-07-03,Card,Completed,ORD_3080
PAY_5081,2025-09-23,Card,Completed,ORD_3081
PAY_5082,2025-04-18,Card,Pending,ORD_3082
PAY_5083,2025-07-11,COD,Pending,ORD_3083
PAY_5084,2025-05-28,Card,Completed,ORD_3084
PAY_5085,2025-08-04,COD,Completed,ORD_3085
PAY_5086,2025-06-29,Card,Pending,ORD_3086
PAY_5087,2025-08-14,Card,Completed,ORD_3087
PAY_5088,2025-04-25,COD,Completed,ORD_3088
PAY_5089,2025-04-16,Card,Completed,ORD_3089
PAY_5090,2025-07-11,Card,Completed,ORD_3090
PAY_5091,2026-01-01,Card,Completed,ORD_3091
PAY_5092,2025-08-06,Card,Refunded,ORD_3092
PAY_5093,2025-07-24,COD,Completed,ORD_3093
PAY_5094,2025-04-29,Card,Completed,ORD_3094
PAY_5095,2025-06-08,COD,Pending,ORD_3095
PAY_5096,2025-09-28,UPI,Completed,ORD_3096
PAY_5097,2025-10-19,Card,Completed,ORD_3097
PAY_5098,2025-06-20,COD,Completed,ORD_3098
PAY_5099,2026-02-10,UPI,Completed,ORD_3099
PAY_5100,2025-10-19,UPI,Completed,ORD_3100
PAY_5101,2025-11-09,UPI,Completed,ORD_3101
PAY_5102,2026-03-09,UPI,Completed,ORD_3102
PAY_5103,2025-08-17,Card,Completed,ORD_3103
PAY_5104,2025-12-19,COD,Completed,ORD_3104
PAY_5105,2026-02-25,COD,Failed,ORD_3105
PAY_5106,2025-12-29,Card,Completed,ORD_3106
PAY_5107,2025-05-19,COD,Completed,ORD_3107
PAY_5108,2025-12-13,COD,Pending,ORD_3108
PAY_5109,2025-04-04,COD,Completed,ORD_3109
PAY_5110,2025-07-11,COD,Completed,ORD_3110
PAY_5111,2025-08-06,COD,Completed,ORD_3111
PAY_5112,2025-09-06,UPI,Pending,ORD_3112
PAY_5113,2025-07-11,COD,Completed,ORD_3113
PAY_5114,2025-06-10,COD,Completed,ORD_3114
PAY_5115,2025-05-01,UPI,Completed,ORD_3115
PAY_5116,2025-07-20,UPI,Completed,ORD_3116
PAY_5117,2025-11-17,UPI,Refunded,ORD_3117
PAY_5118,2025-10-28,Card,Completed,ORD_3118
PAY_5119,2025-11-25,UPI,Completed,ORD_3119
PAY_5120,2025-04-07,COD,Pending,ORD_3120
PAY_5121,2025-08-12,Card,Completed,ORD_3121
PAY_5122,2025-11-08,Card,Completed,ORD_3122
PAY_5123,2025-07-15,UPI,Completed,ORD_3123
PAY_5124,2026-02-24,Card,Pending,ORD_3124
PAY_5125,2025-04-20,COD,Refunded,ORD_3125
PAY_5126,2025-05-25,UPI,Pending,ORD_3126
PAY_5127,2025-03-31,UPI,Completed,ORD_3127
PAY_5128,2025-03-29,UPI,Completed,ORD_3128
PAY_5129,2025-07-24,UPI,Completed,ORD_3129
PAY_5130,2025-04-13,COD,Pending,ORD_3130
PAY_5131,2025-06-27,COD,Completed,ORD_3131
PAY_5132,2025-05-15,COD,Completed,ORD_3132
PAY_5133,2025-07-28,COD,Refunded,ORD_3133
PAY_5134,2025-12-06,Card,Completed,ORD_3134
PAY_5135,2025-08-08,COD,Completed,ORD_3135
PAY_5136,2025-10-09,COD,Pending,ORD_3136
PAY_5137,2025-05-06,UPI,Completed,ORD_3137
PAY_5138,2026-01-17,COD,Completed,ORD_3138
PAY_5139,2025-09-07,UPI,Completed,ORD_3139
PAY_5140,2025-05-26,COD,Completed,ORD_3140
PAY_5141,2026-02-18,UPI,Completed,ORD_3141
PAY_5142,2025-06-19,UPI,Completed,ORD_3142
PAY_5143,2025-04-04,UPI,Completed,ORD_3143
PAY_5144,2026-01-25,Card,Pending,ORD_3144
PAY_5145,2025-09-16,UPI,Completed,ORD_3145
PAY_5146,2025-12-30,COD,Completed,ORD_3146
PAY_5147,2025-06-25,COD,Completed,ORD_3147
PAY_5148,2026-02-27,UPI,Refunded,ORD_3148
PAY_5149,2026-03-14,COD,Completed,ORD_3149
PAY_5150,2026-02-16,COD,Pending,ORD_3150
PAY_5151,2025-10-17,Card,Refunded,ORD_3151
PAY_5152,2025-09-20,UPI,Pending,ORD_3152
PAY_5153,2025-11-01,Card,Refunded,ORD_3153
PAY_5154,2026-02-07,COD,Completed,ORD_3154
PAY_5155,2026-01-04,Card,Pending,ORD_3155
PAY_5156,2025-09-12,Card,Pending,ORD_3156
PAY_5157,2025-12-10,COD,Pending,ORD_3157
PAY_5158,2025-10-25,UPI,Completed,ORD_3158
PAY_5159,2025-05-04,COD,Completed,ORD_3159
PAY_5160,2025-09-05,UPI,Completed,ORD_3160
PAY_5161,2025-09-13,COD,Completed,ORD_3161
PAY_5162,2025-10-01,COD,Failed,ORD_3162
PAY_5163,2025-10-06,COD,Pending,ORD_3163
PAY_5164,2026-02-01,Card,Completed,ORD_3164
PAY_5165,2026-02-10,UPI,Pending,ORD_3165
PAY_5166,2026-03-11,UPI,Completed,ORD_3166
PAY_5167,2025-06-22,UPI,Completed,ORD_3167
PAY_5168,2026-01-16,UPI,Completed,ORD_3168
PAY_5169,2025-09-07,Card,Completed,ORD_3169
PAY_5170,2026-03-26,Card,Pending,ORD_3170
PAY_5171,2025-09-02,Card,Completed,ORD_3171
PAY_5172,2026-03-02,COD,Completed,ORD_3172
PAY_5173,2025-07-01,UPI,Completed,ORD_3173
PAY_5174,2026-02-21,UPI,Completed,ORD_3174
PAY_5175,2025-10-15,Card,Pending,ORD_3175
PAY_5176,2025-11-26,UPI,Completed,ORD_3176
PAY_5177,2026-03-10,Card,Completed,ORD_3177
PAY_5178,2026-01-25,Card,Pending,ORD_3178
PAY_5179,2025-12-20,COD,Completed,ORD_3179
PAY_5180,2025-06-06,UPI,Pending,ORD_3180
PAY_5181,2026-02-28,COD,Completed,ORD_3181
PAY_5182,2026-01-24,COD,Completed,ORD_3182
PAY_5183,2025-11-28,COD,Pending,ORD_3183
PAY_5184,2026-02-19,Card,Pending,ORD_3184
PAY_5185,2025-07-11,COD,Completed,ORD_3185
PAY_5186,2025-09-16,COD,Completed,ORD_3186
PAY_5187,2026-03-25,Card,Pending,ORD_3187
