shipping_id,order_id,delivery_status,shipping_date,return_date
SHIP_9001,ORD_3001,Cancelled,,
SHIP_9002,ORD_3002,Returned,2025-10-02,2025-10-07
SHIP_9003,ORD_3003,Returned,2025-08-10,2025-08-15
SHIP_9004,ORD_3004,Delivered,2025-08-23,
SHIP_9005,ORD_3005,Delivered,2025-05-03,
SHIP_9006,ORD_3006,Delivered,2025-06-27,
SHIP_9007,ORD_3007,Delivered,2026-01-20,
SHIP_9008,ORD_3008,Returned,2025-05-08,2025-05-14
SHIP_9009,ORD_3009,Delivered,2025-10-01,
SHIP_9010,ORD_3010,Returned,2026-01-07,2026-01-13
SHIP_9011,ORD_3011,Returned,2026-01-25,2026-01-30
SHIP_9012,ORD_3012,Delivered,2025-05-19,
SHIP_9013,ORD_3013,Delivered,2025-09-17,
SHIP_9014,ORD_3014,In Transit,2026-01-11,
SHIP_9015,ORD_3015,Returned,2026-01-18,2026-01-23
SHIP_9016,ORD_3016,In Transit,2025-12-07,
SHIP_9017,ORD_3017,Returned,2025-04-20,2025-04-23
SHIP_9018,ORD_3018,Delivered,2025-08-06,
SHIP_9019,ORD_3019,Returned,2025-11-22,2025-11-25
SHIP_9020,ORD_3020,Delivered,2025-06-25,
SHIP_9021,ORD_3021,Cancelled,,
SHIP_9022,ORD_3022,Returned,2025-09-27,2025-10-02
SHIP_9023,ORD_3023,Returned,2025-09-28,2025-10-04
SHIP_9024,ORD_3024,In Transit,2025-05-08,
SHIP_9025,ORD_3025,Delivered,2025-12-18,
SHIP_9026,ORD_3026,Returned,2026-01-26,2026-01-31
SHIP_9027,ORD_3027,Delivered,2026-01-21,
SHIP_9028,ORD_3028,Delivered,2025-10-12,
SHIP_9029,ORD_3029,Returned,2025-12-09,2025-12-16
SHIP_9030,ORD_3030,Delivered,2025-07-11,
SHIP_9031,ORD_3031,Returned,2025-08-14,2025-08-19
SHIP_9032,ORD_3032,Delivered,2025-09-18,
SHIP_9033,ORD_3033,Cancelled,,
SHIP_9034,ORD_3034,Cancelled,,
SHIP_9035,ORD_3035,In Transit,2025-07-26,
SHIP_9036,ORD_3036,In Transit,2026-02-11,
SHIP_9037,ORD_3037,In Transit,2025-11-07,
SHIP_9038,ORD_3038,Cancelled,,
SHIP_9039,ORD_3039,Delivered,2025-06-03,
SHIP_9040,ORD_3040,Delivered,2025-11-10,
SHIP_9041,ORD_3041,Delivered,2026-03-12,
SHIP_9042,ORD_3042,Delivered,2025-05-12,
SHIP_9043,ORD_3043,In Transit,2025-06-26,
SHIP_9044,ORD_3044,Delivered,2025-04-22,
SHIP_9045,ORD_3045,Delivered,2026-01-16,
SHIP_9046,ORD_3046,Returned,2025-05-04,2025-05-09
SHIP_9047,ORD_3047,Delivered,2025-05-29,
SHIP_9048,ORD_3048,Delivered,2025-04-24,
SHIP_9049,ORD_3049,Delivered,2026-03-06,
SHIP_9050,ORD_3050,Delivered,2025-06-23,
SHIP_9051,ORD_3051,Returned,2025-10-22,2025-10-25
SHIP_9052,ORD_3052,Returned,2025-10-24,2025-10-30
SHIP_9053,ORD_3053,Delivered,2026-02-25,
SHIP_9054,ORD_3054,In Transit,2025-09-26,
SHIP_9055,ORD_3055,Delivered,2025-10-15,
SHIP_9056,ORD_3056,Delivered,2025-04-17,
SHIP_9057,ORD_3057,In Transit,2025-09-29,
SHIP_9058,ORD_3058,Delivered,2025-09-10,
SHIP_9059,ORD_3059,Delivered,2025-06-14,
SHIP_9060,ORD_3060,Returned,2025-10-19,2025-10-25
SHIP_9061,ORD_3061,In Transit,2026-03-25,
SHIP_9062,ORD_3062,Delivered,2025-08-16,
SHIP_9063,ORD_3063,Returned,2025-10-13,2025-10-18
SHIP_9064,ORD_3064,Cancelled,,
SHIP_9065,ORD_3065,Delivered,2026-02-18,
SHIP_9066,ORD_3066,In Transit,2025-09-29,
SHIP_9067,ORD_3067,Delivered,2025-09-04,
SHIP_9068,ORD_3068,Delivered,2025-11-11,
SHIP_9069,ORD_3069,Cancelled,,
SHIP_9070,ORD_3070,Delivered,2025-11-17,
SHIP_9071,ORD_3071,In Transit,2025-04-22,
SHIP_9072,ORD_3072,In Transit,2026-02-01,
SHIP_9073,ORD_3073,Returned,2025-10-01,2025-10-08
SHIP_9074,ORD_3074,In Transit,2025-12-24,
SHIP_9075,ORD_3075,Delivered,2025-07-03,
SHIP_9076,ORD_3076,In Transit,2025-07-28,
SHIP_9077,ORD_3077,Delivered,2025-05-12,
SHIP_9078,ORD_3078,Returned,2025-05-25,2025-05-30
SHIP_9079,ORD_3079,Returned,2025-07-30,2025-08-06
SHIP_9080,ORD_3080,Returned,2025-06-17,2025-06-22
SHIP_9081,ORD_3081,Delivered,2026-03-16,
SHIP_9082,ORD_3082,In Transit,2025-06-19,
SHIP_9083,ORD_3083,In Transit,2025-08-15,
SHIP_9084,ORD_3084,Returned,2026-02-05,2026-02-11
SHIP_9085,ORD_3085,Delivered,2025-12-10,
SHIP_9086,ORD_3086,In Transit,2025-04-14,
SHIP_9087,ORD_3087,Delivered,2025-06-23,
SHIP_9088,ORD_3088,Delivered,2025-08-26,
SHIP_9089,ORD_3089,Returned,2026-01-04,2026-01-08
SHIP_9090,ORD_3090,Delivered,2026-02-02,
SHIP_9091,ORD_3091,Returned,2025-11-12,2025-11-18
SHIP_9092,ORD_3092,Cancelled,,
SHIP_9093,ORD_3093,Delivered,2025-11-07,
SHIP_9094,ORD_3094,Returned,2026-01-11,2026-01-14
SHIP_9095,ORD_3095,In Transit,2026-02-26,
SHIP_9096,ORD_3096,Delivered,2025-11-04,
SHIP_9097,ORD_3097,Delivered,2025-11-10,
SHIP_9098,ORD_3098,Delivered,2025-11-16,
SHIP_9099,ORD_3099,Delivered,2026-01-07,
SHIP_9100,ORD_3100,Delivered,2026-01-16,
SHIP_9101,ORD_3101,Returned,2025-12-31,2026-01-03
SHIP_9102,ORD_3102,Delivered,2026-02-16,
SHIP_9103,ORD_3103,Returned,2025-08-17,2025-08-23
SHIP_9104,ORD_3104,Delivered,2025-08-05,
SHIP_9105,ORD_3105,Cancelled,,
SHIP_9106,ORD_3106,Delivered,2025-07-11,
SHIP_9107,ORD_3107,Delivered,2025-10-20,
SHIP_9108,ORD_3108,In Transit,2025-06-12,
SHIP_9109,ORD_3109,Delivered,2025-09-22,
SHIP_9110,ORD_3110,Delivered,2026-02-11,
SHIP_9111,ORD_3111,Returned,2025-08-08,2025-08-12
SHIP_9112,ORD_3112,In Transit,2026-03-06,
SHIP_9113,ORD_3113,Delivered,2026-02-12,
SHIP_9114,ORD_3114,Delivered,2026-02-01,
SHIP_9115,ORD_3115,Returned,2025-11-01,2025-11-04
SHIP_9116,ORD_3116,Returned,2025-04-30,2025-05-03
SHIP_9117,ORD_3117,Cancelled,,
SHIP_9118,ORD_3118,Delivered,2025-09-27,
SHIP_9119,ORD_3119,Returned,2025-09-08,2025-09-15
SHIP_9120,ORD_3120,In Transit,2025-06-02,
SHIP_9121,ORD_3121,Delivered,2025-08-15,
SHIP_9122,ORD_3122,Delivered,2025-05-29,
SHIP_9123,ORD_3123,Delivered,2026-03-25,
SHIP_9124,ORD_3124,In Transit,2025-11-07,
SHIP_9125,ORD_3125,Cancelled,,
SHIP_9126,ORD_3126,In Transit,2025-08-21,
SHIP_9127,ORD_3127,Delivered,2026-01-28,
SHIP_9128,ORD_3128,Delivered,2025-06-03,
SHIP_9129,ORD_3129,Returned,2026-01-22,2026-01-27
SHIP_9130,ORD_3130,In Transit,2025-08-18,
SHIP_9131,ORD_3131,Delivered,2025-09-08,
SHIP_9132,ORD_3132,Delivered,2025-04-25,
SHIP_9133,ORD_3133,Cancelled,,
SHIP_9134,ORD_3134,Delivered,2025-10-21,
SHIP_9135,ORD_3135,Delivered,2025-12-19,
SHIP_9136,ORD_3136,In Transit,2025-11-08,
SHIP_9137,ORD_3137,Delivered,2025-11-14,
SHIP_9138,ORD_3138,Returned,2025-07-17,2025-07-24
SHIP_9139,ORD_3139,Delivered,2025-05-31,
SHIP_9140,ORD_3140,Delivered,2025-06-17,
SHIP_9141,ORD_3141,Delivered,2026-03-26,
SHIP_9142,ORD_3142,Delivered,2026-02-18,
SHIP_9143,ORD_3143,Delivered,2026-03-18,
SHIP_9144,ORD_3144,In Transit,2026-03-14,
SHIP_9145,ORD_3145,Delivered,2025-04-08,
SHIP_9146,ORD_3146,Delivered,2025-05-13,
SHIP_9147,ORD_3147,Delivered,2025-10-20,
SHIP_9148,ORD_3148,Cancelled,,
SHIP_9149,ORD_3149,Delivered,2026-01-20,
SHIP_9150,ORD_3150,In Transit,2026-02-11,
SHIP_9151,ORD_3151,Cancelled,,
SHIP_9152,ORD_3152,In Transit,2025-06-06,
SHIP_9153,ORD_3153,Cancelled,,
SHIP_9154,ORD_3154,Delivered,2025-07-27,
SHIP_9155,ORD_3155,In Transit,2025-05-19,
SHIP_9156,ORD_3156,In Transit,2026-03-26,
SHIP_9157,ORD_3157,In Transit,2026-02-08,
SHIP_9158,ORD_3158,Delivered,2026-03-02,
SHIP_9159,ORD_3159,Delivered,2026-02-07,
SHIP_9160,ORD_3160,Returned,2026-02-12,2026-02-15
SHIP_9161,ORD_3161,Delivered,2025-12-07,
SHIP_9162,ORD_3162,Cancelled,,
SHIP_9163,ORD_3163,In Transit,2025-04-20,
SHIP_9164,ORD_3164,Delivered,2026-03-22,
SHIP_9165,ORD_3165,In Transit,2025-06-30,
SHIP_9166,ORD_3166,Delivered,2025-09-29,
SHIP_9167,ORD_3167,Returned,2026-03-03,2026-03-09
SHIP_9168,ORD_3168,Delivered,2025-07-28,
SHIP_9169,ORD_3169,Delivered,2026-03-11,
SHIP_9170,ORD_3170,In Transit,2025-10-04,
SHIP_9171,ORD_3171,Returned,2025-04-21,2025-04-28
SHIP_9172,ORD_3172,Delivered,2026-03-29,
SHIP_9173,ORD_3173,Returned,2025-07-24,2025-07-29
SHIP_9174,ORD_3174,Returned,2026-01-17,2026-01-24
SHIP_9175,ORD_3175,In Transit,2025-09-22,
SHIP_9176,ORD_3176,Delivered,2025-09-30,
SHIP_9177,ORD_3177,Returned,2025-09-01,2025-09-07
SHIP_9178,ORD_3178,In Transit,2025-11-28,
SHIP_9179,ORD_3179,Delivered,2025-04-08,
SHIP_9180,ORD_3180,In Transit,2026-03-30,
SHIP_9181,ORD_3181,Delivered,2026-01-23,
SHIP_9182,ORD_3182,Delivered,2026-01-19,
SHIP_9183,ORD_3183,In Transit,2025-10-25,
SHIP_9184,ORD_3184,In Transit,2026-01-08,
SHIP_9185,ORD_3185,Delivered,2026-01-22,
SHIP_9186,ORD_3186,Delivered,2026-02-26,
SHIP_9187,ORD_3187,In Transit,2025-06-12,
SHIP_9188,ORD_3188,Returned,2026-02-26,2026-03-01
SHIP_9189,ORD_3189,Returned,2026-02-03,2026-02-10
SHIP_9190,ORD_3190,Delivered,2025-11-16,
SHIP_9191,ORD_3191,Delivered,2025-11-11,
SHIP_9192,ORD_3192,Delivered,2026-03-07,
SHIP_9193,ORD_3193,In Transit,2025-08-24,
SHIP_9194,ORD_3194,Delivered,2026-02-10,
SHIP_9195,ORD_3195,In Transit,2026-03-22,
SHIP_9196,ORD_3196,Delivered,2026-02-18,
SHIP_9197,ORD_3197,Returned,2026-02-05,2026-02-11
SHIP_9198,ORD_3198,Delivered,2025-12-09,
SHIP_9199,ORD_3199,Delivered,2025-10-01,
SHIP_9200,ORD_3200,Delivered,2025-11-17,
SHIP_9201,ORD_3201,Delivered,2025-09-29,
SHIP_9202,ORD_3202,Cancelled,,
SHIP_9203,ORD_3203,Returned,2026-03-21,2026-03-26
SHIP_9204,ORD_3204,Delivered,2025-05-28,
SHIP_9205,ORD_3205,In Transit,2026-03-28,
SHIP_9206,ORD_3206,In Transit,2025-07-04,
SHIP_9207,ORD_3207,Delivered,2025-04-20,
SHIP_9208,ORD_3208,Returned,2025-04-11,2025-04-14
SHIP_9209,ORD_3209,Cancelled,,
SHIP_9210,ORD_3210,In Transit,2025-07-29,
SHIP_9211,ORD_3211,Delivered,2025-09-01,
SHIP_9212,ORD_3212,Returned,2025-11-14,2025-11-21
SHIP_9213,ORD_3213,In Transit,2025-06-09,
SHIP_9214,ORD_3214,In Transit,2025-04-01,
SHIP_9215,ORD_3215,Cancelled,,
SHIP_9216,ORD_3216,Delivered,2025-05-24,
SHIP_9217,ORD_3217,Delivered,2026-02-17,
